FSAE (EV) Design Spec Sheet,,,,,,,2025,,
Competitors: Please read the Instructions-Tips (tab below) prior to the completion and submission of this sheet.,,,,,,,,,
Car No.,,212,,,,,,,
School,,National University of Singapore,,,,,,,
,,,,,,,,,
Dimensions,Units,,,,,,,,
Overall Dimensions,mm,Length:,3004.66,Width:,1431,Height:,1180.5,,
Wheelbase & Track,mm,Wheelbase:,1528,Front Track:,1210,Rear Track:,1210,,
Center of Gravity Design Height,mm,CG Height:,256,Confirmed Via:,Tilt Test,,,,
Mass without driver,kg,Front:,86,Rear:,110,Total:,196,,
Weight Distribution with 68kg driver,,% Front:,50.95,% Left:,49.81,,,,
,,,,,,,,,
Suspension Parameters,Units,Front,,,Rear,,,,
"Tire Size, Compound and Make",,16.0x7.5-10 R20 Hoosier,,,16.0x7.5-10 R20 Hoosier,,,,
"Wheels (diameter, width)",inch,"Diamter (col D):
Width (col E):",10.0,8.3,"Diameter (col G):
Width (col H):",10.0,8.3,,
"Wheels (width, construction)",,"8"", 0 Offset, 6061 AL, 3pcs Forged with Center Lock",,,"8"", 0 Offset, 6061 AL, 3pcs Forged with Center Lock",,,,
Suspension Type,,"Double A-Arm, Push Rod",,,"Double A-Arm, Push Rod",,,,
Suspension design travel,mm,Jounce (col D): Rebound (col E):,25.4,25.4,Jounce (col G): Rebound (col H):,25.4,25.4,,
Wheel rate (chassis to wheel center),N/mm,5.25,,,5.25,,,,
Roll rate (chassis to wheel center),NM/deg,671.26,,,671.26,,,,
Sprung mass natural frequency,Hz,4.71,,,4.71,,,,
Jounce Damping,% critical,400,at __ mm/sec:,12.5,300,at __ mm/sec:,12.5,,
Rebound Damping,% critical,80,at __ mm/sec:,250,90,at __ mm/sec:,250,,
Motion ratio,_.__:1,1,Type:,linear,1,Type:,linear,,
Ride Camber  (Rate of Camber Change),deg/m,49.9,,,66.8,,,,
Roll Camber,deg/deg,0.473,,,0.295,,,,
"Static Toe (- out, + in)",deg,-1.5,,,0,,,,
Static camber,deg,-0.7,,,-0.6,,,,
Static camber adjustment method,,Shims,,,Shims,,,,
Anti dive / Anti Squat,%,0,,,0,,,,
"Roll center height above ground, static",mm,34.977,,,50.496,,,,
Roll center position at 1g lateral acc,mm,Height (col D): Lateral (col E):,34.98,13.469,Height (col G): Lateral (col H):,50.41,24.413,,
"Front Caster, Trail, and Scrub Radius",,Caster (deg):,4,Kin Trail (mm):,14.3,Scrub Rad (mm),20.93,,
Front Kingpin Axis,,Inclination (deg):,10.7,Offset (mm):,59.33,,,,
Static Ackermann,%,102.07,Adjustable?,Yes,,,,,
Suspension Adjustment Methods,,Changing Toe Rod Length,,,,,,,
"Steer Ratio, C-Factor, Steer Arm Length",,Steer Ratio (x:1),0.257,c-factor (mm),92.82,Steer Arm Length,60.2,,
,,,,,,,,,
Brake System / Hub & Axle,Units,Front,,,Rear,,,,
Rotors,,"Floating, Diam: 192.5m, Thickness: 4.8mm, Material: AISI 420, Coating: Heat treat to 33-35HRC",,,"Floating, Diam: 188m, Thickness: 4.8mm, Material: AISI 420, Coating: Heat treat to 33-35HRC",,,,
Master Cylinder,,"78 Series Tilton Master Cylinder, Push-Type, Bore Size: 19.05mm, Bias Bar Proportioning Method",,,"78 Series Tilton Master Cylinder, Push-Type, Bore Size: 20.6375mm, Bias Bar Proportioning Method",,,,
Calipers,,"Material: Aluminum Alloy, Make: ISR Brakes, Model: 22-048, Piston Diam: 25mm, Configuration: 4 Piston (2 each side)",,,"Material: Aluminum Alloy, Make: ISR Brakes, Model: 22-049, Piston Diam: 25mm, Configuration: 2 Piston (1 each side)",,,,
Brake Pad/Lining Material,,"Make: EBC, Model: GPFAX184HH, Compound: Sintered Metal ",,,"Make: EBC, Model: GPFAX184HH, Compound: Sintered Metal ",,,,
Force and Pressures @ 1g Deceleration,,Front Pres. (bar):,14.524,Rear Pres. (bar):,20.836,Pedal Force (kN),0.247,,
Upright Assembly,," Upright Material: 7075-T6, Additional Features: Integrated wheel speed sensor mount, Radial Mount for calipers, Separate Toe Rod Clevis
Hub Material: 7075-T6, Additional Features: Floating brake rotor, Centerlock Rim Fastenening, Pretension method - Centrelock pretension nut",,," Upright Material: 7075-T6, Additional Features: Integrated wheel speed sensor mount, Radial Mount for calipers, Integrated Toe Rod Clevis
Hub Material: 7075-T6, Additional Features: Floating brake rotor, Centerlock Rim Fastenening, Pretension method - 3 pretension bolts, 4340 Tripod Liner",,,,
Hub Bearings,,"Bearing Type: Angular Contact Bearing (Sealed)
Size: 40x62x12mm",,,"Bearing Type: Angular Contact Bearing (Sealed)
Size: 70x100x16mm",,,,
"Axle type, size, and material",,"Full Floating, OD 40mm, Hard Annodized 7075 AL",,,"Full Floating, OD 70mm, Hard Annodized 7075 AL",,,,
,,,,,,,,,
Ergonomics,Units,,,,,,,,
Driver Size Adjustments,,"Fixed Seat, 2 Steering Wheel positions with boss kit, 3 Position Adjustable Pedal Box",,,,,,,
"Seat (materials, padding/damping)",,"Oven Cured Pre-preg Carbon Fiber with Nomex Honeycomb Core, Sponge Foam Padding",,,,,,,
"Steering Wheel (dia, construction)",,Diamter (mm),240,Construction,"CFRP with Foam Core, 3D Printed Onyx Grips",,,,
"Shift Actuator (type, location)",,N/A,,,,,,,
"Clutch Actuator (type, location)",,N/A,,,,,,,
Instrumentation,,"Driver Display (R2D, Speed, Temperature warning, throttle travel), AMS, BSPD, IMD",,,,,,,
"Optional: (e.g., Driver Safety Systems, etc.?)",,"6 Point Harness, Padding at FH similar to MH padding to protect driver's legs",,,,,,,
,,,,,,,,,
,,,,,,,,,
Electrical (non-drive systems),Units,,,,,,,,
Power Management / Control,,"Custom Power Distribution PCB, MOSFET Driven Actuators",,,,,,,
Wiring / Loom / ECM mounting,,"Concentric twisted harness, DR-25 Heat Shrink, Service Loops, Shielded Twisted Pair for CAN Bus",,,,,,,
Battery / Charging System,,"16.8V, 15Ah, 21700 cylindrical cells, 4S3P Low Voltage Battery with In-House Battery Protection",,,,,,,
Grounding,,"Star Point Grounding, Copper Mesh on Monocoque, Nomex Paper Within Powder Coated Electrical Enclosures",,,,,,,
Driver Assist Systems,,"Launch Control, Traction Control",,,,,,,
Logging / Telemetry,,"Built-In Motec M150 Data Logger, IoT Live Telemetry with 4G",,,,,,,
Special Sensing Technology,,"Aerodynamics Pressure Sensor, G-sensor, Pitot tube, Strain Gauge, Suspension Travel Sensors",,,,,,,
,,,,,,,,,
Frame ,Units,,,,,,,,
Frame Construction,,Composite Monocoque (Single piece construction from Top & Bottom half molds),,,,,,,
Material,,"Oven Cured Prepreg Carbon Fiber (GURIT SE-75 Twill & UD) Sandwich Panel with 3003 Aluminum Honeycomb Core 			",,,,,,,
Joining method and material,,N/A,,,,,,,
Bare frame mass with brackets & paint,kg,Target:,32.72,Physical Test:,30.86,,,,
Torsional stiffness,N-m/deg,Target:,2600,Simulated:,-,Physical Test:,3112.04,,
Torsional stiffness validation method,,"Fixed rear, front axle pivoted. Moment arm loaded. Angle of twist measured with dial gauges",,,,,,,
Impact Attenuator configuration,,Standard Aluminum Honeycomb Impact Attenuator,,,,,,,
Impact Attenuator dimensions,mm,Width:,200,Height:,100,Depth:,203,,
Impact Attenuator energy capacity,kJ,Energy:,10.5,Method:,Manufacturer's Specifications,,,,
,,,,,,,,,
Tractive Drive Power System,Units,Front,,,Rear,,,,
Motor Manufacturer / Model / Type,,N/A,,,Emrax 228 Medium Voltage Liquid Cooled,,,,
Motor Technology utilized,,N/A,,,PM Sychronous,,,,
Motor Count and Location(s),,N/A,,,"1, Rear",,,,
Driven Wheel Count & Location(s),,N/A,,,"2, Rear Left, Rear Right",,,,
Nominal Motor Voltage (phase and volts),"P, V",Phase (col D): Voltage (col E):,N/A,N/A,Phase (col G): Voltage (col H):,3,470Vdc,,
Maximum Design Motor rpm (1/min),rpm,N/A,,,4672.5,,,,
Base Speed (max torque until xx rpm),rpm,N/A,,,5500,,,,
Maximum Motor Torque (peak),Nm for Xsec,N/A,,,240NM for 5s,,,,
Maximum Motor Torque (continuous),Nm,N/A,,,125NM,,,,
Maximum Motor Power (peak),kW @ rpm,N/A,,,100kW at 5500RPM,,,,
Maximum Motor Power (continuous),kW @ rpm,N/A,,,42kW at 5000RPM,,,,
"Torque Control Modes (vectoring, etc.)",,N/A,,,N/A,,,,
"Motor Speed Sensor(s)? If so, what type",,N/A,,,TAMAGAWA TS2620N1095E161 10 POLE RESOLVER,,,,
Significant Motor Modifications,,N/A,,,N/A,,,,
Motor Controller(s) Type / Model,,N/A,,,BAMOCAR D3 400-400RS,,,,
Motor Controller Discharge Power (peak),kW for x sec,N/A,,,160 kW for 5s,,,,
Controller Continuous Discharge Power,kW,N/A,,,80kW,,,,
Other Special Components,,N/A,,,Liquid Cooled Motor Controller,,,,
,,,,,,,,,
Accumulator,Units,,,,,,,,
Energy,kW-hr,7.3425kW-hr,,,,,,,
Mass,kg,40.5,,,,,,,
Cell Manufacturer / Type,,"HONGKONG MINGDA INDUSTRIAL INT'L CO., LIMITED",,,,,,,
Cell Voltage / Capacity,"Volts, mAh","3.9V, 11000 mAh (Nominal)",,,,,,,
Voltage (fully charged),V,333.75V,,,,,,,
Cell Technology/Chemistry,,Lithium Cobalt Oxide,,,,,,,
Cell Configuration,,75S2P,,,,,,,
Discharge Power (peak),kW for x sec,128.7kW for 3sec,,,,,,,
Discharge Power (continuous),kW,64.36kW,,,,,,,
Full Charge Time,hrs:min,1hrs:30min,,,,,,,
Charging Efficiency,%,95%,,,,,,,
Charging Power,kW,32.175kW,,,,,,,
Cooling Method,,Air Cooled,,,,,,,
Cycles to 10% capacity reduction,cycles,At least 500 cycles (assuming full depletion of cells before charging),,,,,,,
,,,,,,,,,
Drivetrain,Units,,,,,,,,
Drive Type,,RK Takasago Chain 520 GXW XW-RING Chain Drive,,,,,,,
Differential Type (if used),,"Drexler Mechanical LSD (Non-Adjustable Preload), 30°Accel/45° Decel Angle, Motul 75W140 Differential Fluid",,,,,,,
Final Drive Reduction Ratio ,_:1,3.36,,,,,,,
Vehicle Speed @ max power (design) rpm,kph,1st gear:,106.5,2nd gear:,N/A,3rd gear:,N/A,,
Vehicle Speed @ max power (design) rpm,kph,4th gear:,N/A,5th gear:,N/A,6th gear:,N/A,,
Half shaft size and material,,"Length: 452.0mm (Left), 452.0mm (Right), 20.3mm (OD), 12.7mm (ID). Material: Hollow 4130 Steel, 50 HRC					
",,,,,,,
Axle Joint type,,"Tripod Constant Velocity Joint, RCV Performance Synthetic Moly CV Grease",,,,,,,
,,,,,,,,,
Aerodynamics (if applicable),Units,,,,,,,,
Type / Configuration,,"Front Wing, Body Wings, Side Diffusers, Rear Wing, Rear Diffuser",,,,,,,
"Forces (at 80 kph,  ρ= 1.162 kg/m^3)",,Downforce (N):,1389.8606,% Front:,47.72535,Drag (N):,518.7814,,
Coefficients & Reference Area, ,Cl:,4.429249871,Ref. Area (m^2):,1.0936814,Cd:,1.653268284,,
"Noteable Features (active, etc)",,N/A,,,,,,,
,,,,,,,,,
Other Information,Units,,,,,,,,
"Body Work (material, process)",,,,,,,,,
Optional Information,,,,,,,,,
